Order Date,Region,Category,Sales,Profit
19-11-2024,Central,Furniture,210.6,-14.56
04-01-2025,South,Office Supplies,1324.38,364.65
14-09-2024,South,Office Supplies,859.48,-163
16-02-2025,East,Furniture,708.69,189.28
25-02-2025,East,Office Supplies,776.91,199.03
27-09-2024,East,Furniture,1495.7,-195.08
11-04-2025,South,Office Supplies,151.61,-16.09
26-07-2024,West,Technology,589.7,80.09
03-10-2024,East,Furniture,1022.55,191.85
26-07-2024,Central,Office Supplies,723.93,67.19
08-05-2024,Central,Technology,1394.46,159.87
08-12-2024,West,Technology,573.13,109.65
05-12-2024,West,Furniture,1419.78,185.08
31-08-2024,East,Technology,348.55,42.02
13-05-2024,South,Office Supplies,1273.91,-117.98
22-08-2024,East,Office Supplies,1036.13,-78.5
05-08-2024,East,Office Supplies,761.12,15.49
05-06-2024,Central,Office Supplies,1116.06,180.57
10-07-2024,South,Office Supplies,519.82,177.84
27-03-2025,East,Office Supplies,363.06,-39.65
18-08-2024,West,Office Supplies,849.09,-21.6
07-10-2024,East,Office Supplies,1385.65,136.9
31-03-2025,South,Technology,189.48,50.67
09-08-2024,East,Technology,1490.21,202.5
01-12-2024,Central,Technology,1379.56,-99.65
03-05-2024,South,Office Supplies,179.61,-3.08
26-05-2024,Central,Technology,138.87,44.71
09-11-2024,Central,Furniture,65.54,15.31
27-01-2025,East,Furniture,77.8,21.31
04-07-2024,East,Furniture,167.74,-19.13
21-01-2025,East,Technology,388.25,-38.13
19-12-2024,West,Technology,932.45,271.49
15-05-2024,West,Technology,777.06,-55.99
09-09-2024,West,Technology,113.53,38.19
28-03-2025,East,Office Supplies,420.17,130.06
16-05-2024,South,Office Supplies,1472.79,321.37
22-10-2024,South,Technology,958.11,23.36
08-06-2024,Central,Technology,1168.59,-90.95
16-10-2024,Central,Office Supplies,462.13,168.23
23-02-2025,South,Office Supplies,1009.58,117.77
19-10-2024,East,Office Supplies,815.39,-58.15
11-03-2025,East,Furniture,1051.32,112.39
29-07-2024,South,Technology,1083.49,-136.65
11-01-2025,South,Furniture,334.15,90.75
12-01-2025,East,Furniture,694.01,25.2
19-04-2024,Central,Furniture,333.42,67.67
12-02-2025,East,Office Supplies,864.92,52.14
24-11-2024,East,Office Supplies,154.5,40.49
06-07-2024,Central,Technology,624.49,142.12
21-03-2025,West,Technology,773.18,143.93
23-04-2024,South,Technology,458.28,128.57
28-07-2024,East,Office Supplies,1109.69,152.55
03-03-2025,East,Furniture,1014.23,-86.07
19-10-2024,Central,Technology,1155.35,237.31
21-05-2024,West,Office Supplies,455.56,38.93
03-09-2024,Central,Technology,511.06,51.7
02-01-2025,West,Office Supplies,1269.16,382.37
11-08-2024,Central,Furniture,1263.31,137.23
17-07-2024,West,Office Supplies,613.59,34.89
20-07-2024,Central,Furniture,1276.13,475.57
01-01-2025,West,Technology,1123.49,-118.47
25-04-2024,Central,Office Supplies,199.75,42.12
13-09-2024,West,Technology,220.02,-13.73
10-06-2024,South,Technology,563.86,-12.14
17-07-2024,West,Furniture,936.9,187.53
25-09-2024,East,Technology,757.23,46.44
30-01-2025,South,Office Supplies,1490.86,336.42
25-11-2024,South,Technology,1099.99,-214.06
26-10-2024,South,Technology,361.33,117.44
20-08-2024,East,Office Supplies,1256.47,-12.45
15-08-2024,South,Furniture,54.32,14.66
04-07-2024,East,Office Supplies,1294.16,440.55
18-10-2024,South,Technology,730.26,-94.04
20-01-2025,Central,Office Supplies,502.17,193.01
21-01-2025,South,Furniture,1487.87,574.93
23-01-2025,East,Furniture,1221.4,353.46
15-01-2025,South,Office Supplies,933.34,103.55
30-12-2024,East,Office Supplies,413.8,116.83
15-01-2025,East,Furniture,1358.64,-90.59
28-08-2024,East,Furniture,941.61,67.75
06-11-2024,South,Furniture,1493.25,-200.14
17-03-2025,South,Technology,1073.04,387.57
21-08-2024,South,Furniture,860.44,193.45
02-11-2024,East,Technology,473.68,131.72
01-02-2025,Central,Technology,1337.94,79.84
05-12-2024,East,Technology,217.63,38.42
24-02-2025,Central,Office Supplies,467.76,107.44
10-10-2024,West,Furniture,1330.09,326.23
26-07-2024,Central,Furniture,88.55,30.92
10-05-2024,West,Furniture,1482.05,227.38
17-07-2024,Central,Office Supplies,1327.19,16.83
11-01-2025,West,Furniture,118.8,-4.51
18-02-2025,South,Technology,1029.17,-135.49
17-11-2024,South,Furniture,1011.47,-173.72
30-04-2024,West,Office Supplies,742.81,-32.82
27-07-2024,Central,Furniture,90.65,16.79
30-07-2024,West,Technology,444.38,37.64
20-09-2024,South,Furniture,128.46,-22.07
25-09-2024,South,Technology,1076.74,428.73
03-10-2024,South,Technology,874.17,121.07
15-07-2024,South,Office Supplies,363.9,-55.33
28-06-2024,South,Office Supplies,814.61,298.72
15-02-2025,West,Technology,1227.56,-215.9
28-08-2024,West,Office Supplies,242.73,-26.96
10-06-2024,Central,Office Supplies,475.07,181.04
25-03-2025,Central,Technology,472.29,-78.92
05-01-2025,South,Furniture,583.55,-56.7
07-08-2024,Central,Technology,1049.96,170.83
21-12-2024,East,Furniture,1440.49,-111.77
04-04-2025,South,Technology,1490.86,-214.39
28-07-2024,Central,Office Supplies,95.67,29.08
24-01-2025,West,Technology,1489.91,-41.39
08-04-2025,South,Office Supplies,1423.49,-47.94
31-12-2024,South,Furniture,384.07,72.34
15-04-2025,South,Office Supplies,247.83,30.49
27-05-2024,Central,Furniture,1282.44,447.54
04-06-2024,West,Office Supplies,873.46,118.87
18-06-2024,Central,Technology,371.04,16.42
23-11-2024,East,Technology,1131.59,241.39
23-08-2024,South,Office Supplies,589.64,174.08
07-04-2025,West,Furniture,260.57,85.45
30-08-2024,West,Furniture,116.4,26.09
02-08-2024,Central,Technology,1491.86,491.14
01-04-2025,South,Office Supplies,1466.34,-64.23
30-06-2024,Central,Technology,489.46,-69.92
16-03-2025,West,Technology,160.2,-0.07
15-07-2024,South,Office Supplies,936.27,-81.53
20-07-2024,South,Furniture,611.06,222.22
02-06-2024,West,Technology,1233.99,408.99
12-07-2024,East,Office Supplies,100.72,37.33
08-02-2025,West,Office Supplies,1069.31,349.06
24-08-2024,Central,Furniture,1335.08,218.08
26-11-2024,West,Furniture,761.7,142.23
07-05-2024,East,Office Supplies,235.43,55.89
22-02-2025,South,Furniture,1468.58,532.32
31-03-2025,East,Technology,145.41,4.02
14-03-2025,West,Technology,582.08,-24.71
31-07-2024,Central,Office Supplies,761.41,261.05
16-10-2024,Central,Office Supplies,684.05,-58.73
26-11-2024,South,Technology,199.93,38.01
27-02-2025,West,Furniture,236.46,5.13
02-03-2025,East,Furniture,645.59,-5.7
27-05-2024,East,Furniture,963.12,322.41
28-06-2024,Central,Furniture,1308.94,71.42
29-05-2024,West,Office Supplies,1365.44,129.01
28-01-2025,East,Office Supplies,133.49,-5.57
15-09-2024,West,Furniture,920.35,285.4
08-03-2025,South,Technology,799.98,242.72
30-07-2024,Central,Furniture,1429.18,448.25
18-02-2025,West,Office Supplies,729.6,184.79
29-11-2024,East,Office Supplies,509.21,46.72
04-05-2024,East,Technology,336.28,31.48
24-04-2024,South,Furniture,919.44,44.38
02-01-2025,Central,Technology,1498.24,9.64
24-06-2024,East,Technology,1121.43,128.66
17-08-2024,Central,Office Supplies,565.78,70.28
15-07-2024,East,Technology,558.06,32.66
29-12-2024,East,Office Supplies,1096.86,291.38
21-03-2025,West,Office Supplies,1266.54,135.73
17-08-2024,Central,Furniture,1030.41,-110.95
24-04-2024,South,Furniture,524.95,-104
28-05-2024,West,Furniture,782.89,220.54
29-03-2025,South,Furniture,226.76,40.05
04-10-2024,South,Furniture,1163.68,409.53
09-12-2024,East,Office Supplies,940.97,275.62
09-06-2024,South,Furniture,249.37,61.98
31-08-2024,South,Furniture,821.88,-66.34
04-12-2024,West,Technology,770.74,244.99
04-01-2025,South,Office Supplies,1466.93,572.87
03-06-2024,West,Furniture,188.56,72.73
05-08-2024,West,Furniture,446.65,161.43
31-07-2024,East,Office Supplies,452.45,142.95
21-05-2024,East,Office Supplies,875.94,67.31
12-10-2024,South,Furniture,751.02,-20.77
17-12-2024,South,Technology,448.15,92.69
